algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,2,512,20

size,avg_time,avg_comps,avg_swaps
2,0.0,1,0
12,0.0,67,36
22,0.0,298,155
32,0.0,794,400
42,0.0,1655,823
52,781.25,2981,1492
62,0.0,4872,2461
72,0.0,7428,3733
82,781.25,10749,5421
92,781.25,14935,7535
102,781.25,20086,10098
112,781.25,26302,13229
122,781.25,33683,16930
132,781.25,42329,21285
142,1562.5,52340,26243
152,1562.5,63816,32076
162,781.25,76857,38665
172,1562.5,91563,45989
182,2343.75,108034,54247
192,2343.75,126370,63420
202,2343.75,146671,73608
212,3125.0,169037,84876
222,3125.0,193568,97098
232,3125.0,220364,110589
242,3906.25,249525,125339
252,3906.25,281151,141206
262,3906.25,315342,158522
272,4687.5,352198,176934
282,4687.5,391819,196415
292,4687.5,434305,217215
302,6250.0,479756,239944
312,6250.0,528272,264200
322,5468.75,579953,290328
332,7031.25,634899,317660
342,7031.25,693210,346711
352,7812.5,754986,377759
362,7812.5,820327,410351
372,8593.75,889333,444766
382,9375.0,962104,481483
392,10156.25,1038740,519704
402,10156.25,1119341,560245
412,10937.5,1204007,602775
422,10937.5,1292838,647188
432,12500.0,1385934,694015
442,12500.0,1483395,743539
452,12500.0,1585321,794597
462,14062.5,1691812,847278
472,14062.5,1802968,903172
482,14843.75,1918889,960818
492,15625.0,2039675,1020928
502,16406.25,2165426,1083569
512,17968.75,2296242,1149099


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,2,512,20

size,avg_time,avg_comps,avg_swaps
2,0.0,2296242,1149099
12,0.0,2296297,1149107
22,0.0,2296507,1149124
32,0.0,2296972,1149151
42,781.25,2297792,1149188
52,0.0,2299067,1149234
62,0.0,2300897,1149291
72,0.0,2303382,1149356
82,0.0,2306622,1149432
92,781.25,2310717,1149518
102,0.0,2315767,1149615
112,0.0,2321872,1149721
122,781.25,2329132,1149837
132,781.25,2337647,1149963
142,0.0,2347517,1150098
152,781.25,2358842,1150243
162,781.25,2371722,1150399
172,781.25,2386257,1150564
182,1562.5,2402547,1150739
192,781.25,2420692,1150923
202,781.25,2440792,1151118
212,1562.5,2462947,1151323
222,1562.5,2487257,1151538
232,1562.5,2513822,1151762
242,1562.5,2542742,1151997
252,1562.5,2574117,1152243
262,2343.75,2608047,1152497
272,1562.5,2644632,1152762
282,1562.5,2683972,1153036
292,2343.75,2726167,1153320
302,2343.75,2771317,1153615
312,3125.0,2819522,1153920
322,2343.75,2870882,1154235
332,3125.0,2925497,1154560
342,3125.0,2983467,1154894
352,3125.0,3044892,1155239
362,3906.25,3109872,1155593
372,3906.25,3178507,1155957
382,3906.25,3250897,1156331
392,4687.5,3327142,1156715
402,4687.5,3407342,1157110
412,3906.25,3491597,1157515
422,4687.5,3580007,1157929
432,5468.75,3672672,1158354
442,5468.75,3769692,1158789
452,6250.0,3871167,1159234
462,5468.75,3977197,1159688
472,6250.0,4087882,1160153
482,7031.25,4203322,1160626
492,5468.75,4323617,1161111
502,7812.5,4448867,1161606
512,7031.25,4579172,1162111
