algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,262
64,0.0,2512,1268
96,781.25,7072,3558
128,1562.5,15200,7664
160,781.25,27920,13953
192,2343.75,46256,23001
224,3125.0,71232,35695
256,3906.25,103872,51728
288,5468.75,145200,72209
320,7031.25,196240,97774
352,7812.5,258016,128542
384,10156.25,331552,165654
416,10937.5,417872,209159
448,12500.0,518000,259155
480,15625.0,632960,317257
512,17187.5,763776,383067


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,764241,383095
64,0.0,766194,383152
96,781.25,770659,383242
128,0.0,778660,383364
160,781.25,791221,383517
192,1562.5,809366,383702
224,781.25,834119,383919
256,2343.75,866504,384168
288,2343.75,907545,384450
320,2343.75,958266,384761
352,3906.25,1019691,385106
384,3906.25,1092844,385483
416,4687.5,1178749,385891
448,5468.75,1278430,386331
480,6250.0,1392911,386804
512,7812.5,1523216,387309
