algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,244
64,0.0,2016,1028
96,781.25,4560,2312
128,781.25,8128,4079
160,1562.5,12720,6358
192,2343.75,18336,9056
224,3125.0,24976,12454
256,3906.25,32640,16227
288,5468.75,41328,20823
320,6250.0,51040,25588
352,7812.5,61776,30566
384,8593.75,73536,37027
416,10937.5,86320,42961
448,11718.75,100128,49916
480,14062.5,114960,57569
512,16406.25,130816,65211


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,781.25,992,281
64,0.0,4032,1130
96,0.0,9120,2432
128,781.25,16256,4661
160,781.25,25440,7031
192,3906.25,36672,10308
224,0.0,49952,13683
256,2343.75,65280,18275
288,2343.75,82656,23342
320,3906.25,102080,28804
352,4687.5,123552,34412
384,3906.25,147072,41734
416,7812.5,172640,48307
448,9375.0,200256,56541
480,10937.5,229920,64539
512,10937.5,261632,73762


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,744
64,0.0,4032,3019
96,1562.5,9120,6866
128,781.25,16256,12187
160,1562.5,25440,19058
192,3125.0,36672,27597
224,3906.25,49952,37612
256,6250.0,65280,48859
288,7812.5,82656,62076
320,9375.0,102080,76338
352,10156.25,123552,92891
384,11718.75,147072,110179
416,14843.75,172640,129179
448,16406.25,200256,150500
480,18750.0,229920,171806
512,21093.75,261632,195415


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,26
64,0.0,1953,57
96,0.0,4465,89
128,0.0,8001,121
160,781.25,12561,153
192,781.25,18145,185
224,1562.5,24753,217
256,1562.5,32385,249
288,2343.75,41041,280
320,3125.0,50721,312
352,3906.25,61425,344
384,3906.25,73153,375
416,4687.5,85905,409
448,4687.5,99681,441
480,7031.25,114481,472
512,7031.25,130305,504


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,253,253
64,0.0,1051,1051
96,781.25,2290,2290
128,0.0,4184,4184
160,781.25,6477,6477
192,1562.5,9381,9381
224,0.0,12520,12520
256,2343.75,16561,16561
288,1562.5,20756,20756
320,3125.0,25695,25695
352,3125.0,31115,31115
384,3906.25,37181,37181
416,4687.5,43152,43152
448,6250.0,50838,50838
480,7031.25,57533,57533
512,7812.5,65501,65501
