algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,496,222
64,0.0,2016,1022
96,0.0,4560,2239
128,0.0,8128,4005
160,0.0,12720,6886
192,0.0,18336,9100
224,15625.0,24976,12677
256,0.0,32640,15177
288,0.0,41328,20570
320,0.0,51040,26763
352,15625.0,61776,31338
384,15625.0,73536,35525
416,0.0,86320,44355
448,15625.0,100128,48389
480,15625.0,114960,54013
512,15625.0,130816,64364


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,992,248
64,0.0,4032,1142
96,0.0,9120,2483
128,0.0,16256,4235
160,0.0,25440,7567
192,0.0,36672,9770
224,0.0,49952,12601
256,0.0,65280,16984
288,0.0,82656,24066
320,15625.0,102080,28317
352,15625.0,123552,34821
384,15625.0,147072,38817
416,15625.0,172640,50404
448,0.0,200256,55406
480,15625.0,229920,62728
512,15625.0,261632,72933


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,992,802
64,0.0,4032,3030
96,0.0,9120,7023
128,0.0,16256,12271
160,0.0,25440,18838
192,0.0,36672,27458
224,0.0,49952,37897
256,0.0,65280,48189
288,0.0,82656,62325
320,0.0,102080,75195
352,0.0,123552,91772
384,15625.0,147072,110901
416,15625.0,172640,129450
448,15625.0,200256,148632
480,15625.0,229920,170473
512,15625.0,261632,192460


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,465,30
64,0.0,1953,59
96,0.0,4465,90
128,0.0,8001,121
160,0.0,12561,154
192,15625.0,18145,185
224,0.0,24753,218
256,0.0,32385,253
288,0.0,41041,282
320,0.0,50721,311
352,0.0,61425,341
384,15625.0,73153,378
416,0.0,85905,405
448,0.0,99681,438
480,15625.0,114481,470
512,0.0,130305,508


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,930,27
64,0.0,3906,61
96,0.0,8930,96
128,0.0,16002,130
160,0.0,25122,163
192,15625.0,36290,197
224,0.0,49506,225
256,0.0,64770,261
288,0.0,82082,292
320,15625.0,101442,327
352,0.0,122850,364
384,0.0,146306,399
416,0.0,171810,429
448,15625.0,199362,466
480,15625.0,228962,496
512,15625.0,260610,527


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,930,43
64,0.0,3906,88
96,0.0,8930,137
128,0.0,16002,186
160,0.0,25122,233
192,0.0,36290,283
224,0.0,49506,326
256,0.0,64770,377
288,15625.0,82082,421
320,0.0,101442,474
352,0.0,122850,516
384,0.0,146306,569
416,15625.0,171810,617
448,0.0,199362,664
480,0.0,228962,713
512,0.0,260610,759


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,260,260
64,0.0,1143,1143
96,0.0,2241,2241
128,0.0,4369,4369
160,0.0,6525,6525
192,0.0,9279,9279
224,0.0,12827,12827
256,0.0,15775,15775
288,15625.0,20225,20225
320,0.0,24701,24701
352,0.0,30265,30265
384,0.0,37455,37455
416,15625.0,44907,44907
448,0.0,51841,51841
480,0.0,57185,57185
512,15625.0,64113,64113


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,346,346
64,0.0,1112,1112
96,0.0,2611,2611
128,0.0,4355,4355
160,0.0,7069,7069
192,0.0,10187,10187
224,0.0,15087,15087
256,0.0,18175,18175
288,0.0,24004,24004
320,0.0,29530,29530
352,0.0,36494,36494
384,0.0,40304,40304
416,15625.0,46988,46988
448,0.0,58149,58149
480,0.0,66767,66767
512,0.0,74666,74666


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,32,512,1

size,avg_time,avg_comps,avg_swaps
32,0.0,757,757
64,0.0,3014,3014
96,0.0,6760,6760
128,0.0,11983,11983
160,0.0,18868,18868
192,0.0,27828,27828
224,0.0,37598,37598
256,0.0,50040,50040
288,15625.0,61830,61830
320,0.0,77463,77463
352,15625.0,93800,93800
384,0.0,111914,111914
416,0.0,128020,128020
448,0.0,151647,151647
480,15625.0,172258,172258
512,15625.0,196739,196739
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge_sort,random,32,512,1

size,avg_time,avg_comps,avg_swaps
