algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,245
64,781.25,2016,1027
96,781.25,4560,2256
128,1562.5,8128,3998
160,1562.5,12720,6409
192,3125.0,18336,9095
224,3906.25,24976,12230
256,5468.75,32640,16194
288,6250.0,41328,20611
320,8593.75,51040,25321
352,7812.5,61776,30557
384,10937.5,73536,36877
416,12500.0,86320,43305
448,17187.5,100128,49508
480,18750.0,114960,57875
512,20312.5,130816,65360


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,271
64,0.0,4032,1158
96,0.0,9120,2533
128,781.25,16256,4619
160,781.25,25440,7207
192,1562.5,36672,10352
224,3125.0,49952,13967
256,3906.25,65280,18551
288,6250.0,82656,23363
320,5468.75,102080,28509
352,7812.5,123552,35330
384,8593.75,147072,41351
416,10156.25,172640,48572
448,10937.5,200256,56124
480,13281.25,229920,64932
512,15625.0,261632,72947


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,746
64,0.0,4032,3043
96,781.25,9120,6892
128,781.25,16256,12179
160,3125.0,25440,18963
192,3906.25,36672,27501
224,7031.25,49952,37598
256,6250.0,65280,49136
288,7031.25,82656,61830
320,8593.75,102080,76868
352,11718.75,123552,92536
384,12500.0,147072,110532
416,16406.25,172640,130102
448,21093.75,200256,150093
480,24218.75,229920,172679
512,28906.25,261632,196654


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,27
64,0.0,1953,58
96,0.0,4465,89
128,781.25,8001,121
160,781.25,12561,153
192,1562.5,18145,185
224,1562.5,24753,216
256,1562.5,32385,248
288,3906.25,41041,280
320,3125.0,50721,312
352,3906.25,61425,344
384,4687.5,73153,377
416,4687.5,85905,408
448,6250.0,99681,439
480,7031.25,114481,471
512,8593.75,130305,503


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,930,27
64,0.0,3906,63
96,0.0,8930,94
128,781.25,16002,128
160,0.0,25122,166
192,781.25,36290,202
224,2343.75,49506,233
256,0.0,64770,263
288,2343.75,82082,300
320,3125.0,101442,346
352,8593.75,122850,376
384,3906.25,146306,399
416,4687.5,171810,438
448,6250.0,199362,506
480,0.0,228962,496
512,7812.5,260610,592


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,930,41
64,781.25,3906,89
96,0.0,8930,136
128,0.0,16002,184
160,0.0,25122,232
192,0.0,36290,279
224,0.0,49506,327
256,1562.5,64770,375
288,2343.75,82082,424
320,2343.75,101442,471
352,3906.25,122850,520
384,4687.5,146306,567
416,4687.5,171810,614
448,7031.25,199362,663
480,13281.25,228962,711
512,9375.0,260610,759


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,265,265
64,0.0,1021,1021
96,0.0,2323,2323
128,781.25,4086,4086
160,781.25,6511,6511
192,1562.5,9327,9327
224,1562.5,12666,12666
256,1562.5,16279,16279
288,2343.75,20843,20843
320,3906.25,25804,25804
352,3125.0,31390,31390
384,4687.5,36760,36760
416,4687.5,43121,43121
448,7031.25,49979,49979
480,6250.0,57607,57607
512,9375.0,65555,65555


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,312,312
64,0.0,1208,1208
96,781.25,2691,2691
128,0.0,4753,4753
160,0.0,7272,7272
192,0.0,10522,10522
224,0.0,14253,14253
256,0.0,18633,18633
