algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,496,247,
64,0,2016,990,
96,781.25,4560,2275,
128,1562.5,8128,4046,
160,2343.75,12720,6367,
192,3906.25,18336,9017,
224,6250,24976,12592,
256,5468.75,32640,16329,
288,7031.25,41328,20695,
320,9375,51040,25474,
352,9375,61776,30522,
384,12500,73536,36666,
416,15625,86320,43776,
448,17968.75,100128,50035,
480,20312.5,114960,57517,
512,27343.75,130816,64986,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,992,273,
64,0,4032,1124,
96,0,9120,2563,
128,2343.75,16256,4430,
160,2343.75,25440,7074,
192,3125,36672,10335,
224,4687.5,49952,14203,
256,5468.75,65280,18329,
288,781.25,82656,23060,
320,7031.25,102080,28767,
352,12500,123552,34517,
384,10156.25,147072,41314,
416,12500,172640,48694,
448,11718.75,200256,56408,
480,15625,229920,65272,
512,18750,261632,74080,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,992,744,
64,781.25,4032,3017,
96,1562.5,9120,6895,
128,1562.5,16256,12136,
160,3906.25,25440,18978,
192,4687.5,36672,27400,
224,5468.75,49952,37443,
256,781.25,65280,49155,
288,7031.25,82656,62059,
320,11718.75,102080,76499,
352,14843.75,123552,92594,
384,18750,147072,110519,
416,20312.5,172640,129474,
448,27343.75,200256,150553,
480,29687.5,229920,172777,
512,39843.75,261632,195229,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,465,27,
64,0,1953,58,
96,781.25,4465,90,
128,0,8001,121,
160,781.25,12561,152,
192,1562.5,18145,185,
224,1562.5,24753,217,
256,2343.75,32385,250,
288,3125,41041,280,
320,3906.25,50721,312,
352,4687.5,61425,343,
384,7031.25,73153,376,
416,7031.25,85905,409,
448,7812.5,99681,440,
480,4687.5,114481,473,
512,9375,130305,504,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,930,29,
64,0,3906,61,
96,0,8930,97,
128,781.25,16002,135,
160,781.25,25122,164,
192,1562.5,36290,206,
224,781.25,49506,229,
256,2343.75,64770,261,
288,2343.75,82082,300,
320,6250,101442,355,
352,4687.5,122850,383,
384,5468.75,146306,394,
416,5468.75,171810,428,
448,1562.5,199362,470,
480,8593.75,228962,498,
512,7031.25,260610,531,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,930,42,
64,0,3906,89,
96,0,8930,136,
128,781.25,16002,184,
160,2343.75,25122,232,
192,1562.5,36290,280,
224,1562.5,49506,327,
256,2343.75,64770,375,
288,2343.75,82082,423,
320,3125,101442,471,
352,4687.5,122850,520,
384,5468.75,146306,567,
416,7031.25,171810,614,
448,14843.75,199362,662,
480,10937.5,228962,710,
512,10937.5,260610,759,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,271,271,
64,0,1043,1043,
96,781.25,2268,2268,
128,781.25,4102,4102,
160,781.25,6436,6436,
192,1562.5,9263,9263,
224,2343.75,12772,12772,
256,2343.75,16411,16411,
288,3906.25,20528,20528,
320,4687.5,25881,25881,
352,3906.25,31090,31090,
384,7031.25,36451,36451,
416,7031.25,43661,43661,
448,7812.5,50675,50675,
480,9375,58046,58046,
512,10937.5,66242,66242,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,310,310,
64,0,1241,1241,
96,0,2700,2700,
128,0,4666,4666,
160,0,7379,7379,
192,0,10536,10536,
224,0,14264,14264,
256,0,18875,18875,
288,781.25,23750,23750,
320,0,29031,29031,
352,1562.5,35215,35215,
384,781.25,41671,41671,
416,0,49321,49321,
448,0,56401,56401,
480,781.25,65404,65404,
512,3125,74215,74215,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,761,761,
64,781.25,3057,3057,
96,0,6850,6850,
128,781.25,12262,12262,
160,3125,19242,19242,
192,4687.5,27558,27558,
224,3125,37564,37564,
256,7812.5,48836,48836,
288,7031.25,62084,62084,
320,9375,76932,76932,
352,9375,92886,92886,
384,12500,111034,111034,
416,14062.5,129595,129595,
448,19531.25,150376,150376,
480,21093.75,172336,172336,
512,16406.25,196203,196203,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge_sort,random,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,121,160,
64,0,305,384,
96,0,516,640,
128,781.25,735,896,
160,0,976,1184,
192,781.25,1221,1472,
224,781.25,1470,1760,
256,781.25,1725,2048,
288,781.25,1997,2368,
320,781.25,2269,2688,
352,1562.5,2542,3008,
384,781.25,2817,3328,
416,781.25,3101,3648,
448,781.25,3390,3968,
480,0,3670,4288,
512,2343.75,3959,4608,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge_sort,almost-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,209,320,
64,0,541,768,
96,0,932,1280,
128,0,1331,1792,
160,0,1806,2368,
192,781.25,2251,2944,
224,781.25,2709,3520,
256,0,3173,4096,
288,0,3722,4736,
320,1562.5,4230,5376,
352,781.25,4748,6016,
384,1562.5,5271,6656,
416,0,5807,7296,
